ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-06-03,71.96113408160149,67.06095275492781,69.38471513623972,71.96113408160149,71.96113408160149,-3.7227790447651152,-3.7227790447651152,-3.7227790447651152,-0.10131879899662576,-0.10131879899662576,-0.10131879899662576,-3.6214602457684895,-3.6214602457684895,-3.6214602457684895,0.0,0.0,0.0,68.23835503683637
2019-06-04,71.84431650536273,67.25433305597072,69.57135502954245,71.84431650536273,71.84431650536273,-3.4338296080529025,-3.4338296080529025,-3.4338296080529025,0.06890768877190104,0.06890768877190104,0.06890768877190104,-3.502737296824803,-3.502737296824803,-3.502737296824803,0.0,0.0,0.0,68.41048689730982
2019-06-06,71.61068135288521,67.25130346795358,69.42739702673141,71.61068135288521,71.61068135288521,-3.2802487197669463,-3.2802487197669463,-3.2802487197669463,-0.03430953537490039,-0.03430953537490039,-0.03430953537490039,-3.245939184392046,-3.245939184392046,-3.245939184392046,0.0,0.0,0.0,68.33043263311826
2019-06-07,71.49386377664645,67.17494750052838,69.47569872360732,71.49386377664645,71.49386377664645,-3.1540234926842405,-3.1540234926842405,-3.1540234926842405,-0.04603593919992007,-0.04603593919992007,-0.04603593919992007,-3.1079875534843207,-3.1079875534843207,-3.1079875534843207,0.0,0.0,0.0,68.3398402839622
2019-06-10,71.14341104793017,67.37987615258672,69.49673557143652,71.14341104793017,71.14341104793017,-2.7586291588820178,-2.7586291588820178,-2.7586291588820178,-0.10131879899668202,-0.10131879899668202,-0.10131879899668202,-2.657310359885336,-2.657310359885336,-2.657310359885336,0.0,0.0,0.0,68.38478188904816
2019-06-13,70.79295831921388,67.46485984926014,69.7441675709609,70.79295831921388,70.79295831921388,-2.1896286965292053,-2.1896286965292053,-2.1896286965292053,-0.03430953537502776,-0.03430953537502776,-0.03430953537502776,-2.1553191611541775,-2.1553191611541775,-2.1553191611541775,0.0,0.0,0.0,68.60332962268467
2019-06-14,70.67614074297512,67.56879010667292,69.80155120979819,70.67614074297512,70.67614074297512,-2.023804668945812,-2.023804668945812,-2.023804668945812,-0.0460359391998218,-0.0460359391998218,-0.0460359391998218,-1.97776872974599,-1.97776872974599,-1.97776872974599,0.0,0.0,0.0,68.65233607402931
2019-06-15,70.55932316673636,67.6429327429444,69.92590413906717,70.55932316673636,70.55932316673636,-1.7713516352217673,-1.7713516352217673,-1.7713516352217673,0.024297624121353015,0.024297624121353015,0.024297624121353015,-1.7956492593431201,-1.7956492593431201,-1.7956492593431201,0.0,0.0,0.0,68.7879715315146
2019-06-16,70.4425055904976,67.62551627740821,69.8414301902133,70.4425055904976,70.4425055904976,-1.6096438106384368,-1.6096438106384368,-1.6096438106384368,-0.00030259670761855867,-0.00030259670761855867,-0.00030259670761855867,-1.6093412139308183,-1.6093412139308183,-1.6093412139308183,0.0,0.0,0.0,68.83286177985917
2019-06-24,69.50796498058752,68.22314068297709,70.493812198956,69.50796498058752,69.50796498058752,-0.12692289414008498,-0.12692289414008498,-0.12692289414008498,-0.10131879899662317,-0.10131879899662317,-0.10131879899662317,-0.025604095143461805,-0.025604095143461805,-0.025604095143461805,0.0,0.0,0.0,69.38104208644744
2019-06-27,69.15751225187124,68.51521109141137,70.90365694888644,69.15751225187124,69.15751225187124,0.5390334877621487,0.5390334877621487,0.5390334877621487,-0.034309535375029336,-0.034309535375029336,-0.034309535375029336,0.5733430231371781,0.5733430231371781,0.5733430231371781,0.0,0.0,0.0,69.6965457396334
2019-06-28,69.04069467563248,68.58952002792073,70.86878880679441,69.04069467563248,69.04069467563248,0.7226176677509002,0.7226176677509002,0.7226176677509002,-0.04603593919998166,-0.04603593919998166,-0.04603593919998166,0.7686536069508818,0.7686536069508818,0.7686536069508818,0.0,0.0,0.0,69.76331234338338
2019-06-29,68.9238770993937,68.81469072705838,71.07247508704417,68.9238770993937,68.9238770993937,0.9850839295097029,0.9850839295097029,0.9850839295097029,0.024297624121465803,0.024297624121465803,0.024297624121465803,0.9607863053882372,0.9607863053882372,0.9607863053882372,0.0,0.0,0.0,69.9089610289034
2019-06-30,68.80705952315496,68.81442513229653,71.10476343913312,68.80705952315496,68.80705952315496,1.14887215127438,1.14887215127438,1.14887215127438,-0.0003025967078742211,-0.0003025967078742211,-0.0003025967078742211,1.149174747982254,1.149174747982254,1.149174747982254,0.0,0.0,0.0,69.95593167442934
2019-07-01,68.69024194691619,68.79689449061574,71.09090822112638,68.69024194691619,68.69024194691619,1.2319704047482658,1.2319704047482658,1.2319704047482658,-0.10131879899660302,-0.10131879899660302,-0.10131879899660302,1.3332892037448687,1.3332892037448687,1.3332892037448687,0.0,0.0,0.0,69.92221235166446
2019-07-02,68.57342437067743,69.05038320558755,71.31731108185538,68.57342437067743,68.57342437067743,1.581551215122727,1.581551215122727,1.581551215122727,0.06890768877143001,0.06890768877143001,0.06890768877143001,1.5126435263512972,1.5126435263512972,1.5126435263512972,0.0,0.0,0.0,70.15497558580016
2019-07-06,68.1061540657224,69.1709099170495,71.46067945376123,68.1061540657224,68.1061540657224,2.1988696914000756,2.1988696914000756,2.1988696914000756,0.024297624121577155,0.024297624121577155,0.024297624121577155,2.1745720672784983,2.1745720672784983,2.1745720672784983,0.0,0.0,0.0,70.30502375712247
2019-07-09,67.7557013370061,69.26843641917492,71.5653952044403,67.7557013370061,67.7557013370061,2.6743338002420396,2.6743338002420396,2.6743338002420396,0.06890768877152316,0.06890768877152316,0.06890768877152316,2.6054261114705164,2.6054261114705164,2.6054261114705164,0.0,0.0,0.0,70.43003513724814
